Punkte/Alter;6 bis 7;8 bis 9;10 bis 11;12 bis 13;14 bis 15;16 bis 17;18 bis 19;20 bis 29;30 bis 39;40 bis 49;50
100;5,68;5,6;5,52;5,45;5,37;5,3;5,23;5,17;5,45;5,71;6,71
99;5,73;5,65;5,57;5,5;5,42;5,35;5,28;5,22;5,5;5,76;6,76
98;5,78;5,7;5,62;5,55;5,47;5,4;5,33;5,27;5,55;5,81;6,81
97;5,83;5,75;5,67;5,6;5,52;5,45;5,38;5,32;5,6;5,86;6,86
96;5,88;5,8;5,72;5,65;5,57;5,5;5,43;5,37;5,65;5,91;6,91
95;5,93;5,85;5,77;5,7;5,62;5,55;5,48;5,42;5,7;5,96;6,96
94;5,98;5,9;5,82;5,75;5,67;5,6;5,53;5,47;5,75;6,01;7,01
93;6,03;5,95;5,87;5,8;5,72;5,65;5,58;5,52;5,8;6,06;7,06
92;6,08;6;5,92;5,85;5,77;5,7;5,63;5,57;5,85;6,11;7,11
91;6,13;6,05;5,97;5,9;5,82;5,75;5,68;5,62;5,9;6,16;7,16
90;6,18;6,1;6,02;5,95;5,87;5,8;5,73;5,67;5,95;6,21;7,21
89;6,23;6,15;6,07;6;5,92;5,85;5,78;5,72;6;6,26;7,26
88;6,28;6,2;6,12;6,05;5,97;5,9;5,83;5,77;6,05;6,31;7,31
87;6,33;6,25;6,17;6,1;6,02;5,95;5,88;5,82;6,1;6,36;7,36
86;6,38;6,3;6,22;6,15;6,07;6;5,93;5,87;6,15;6,41;7,41
85;6,43;6,35;6,27;6,2;6,12;6,05;5,98;5,92;6,2;6,46;7,46
84;6,48;6,4;6,32;6,25;6,17;6,1;6,03;5,97;6,25;6,51;7,51
83;6,53;6,45;6,37;6,3;6,22;6,15;6,08;6,02;6,3;6,56;7,56
82;6,58;6,5;6,42;6,35;6,27;6,2;6,13;6,07;6,35;6,61;7,61
81;6,63;6,55;6,47;6,4;6,32;6,25;6,18;6,12;6,4;6,66;7,66
80;6,68;6,6;6,52;6,45;6,37;6,3;6,23;6,17;6,45;6,71;7,71
79;6,73;6,65;6,57;6,5;6,42;6,35;6,28;6,22;6,5;6,76;7,76
78;6,78;6,7;6,62;6,55;6,47;6,4;6,33;6,27;6,55;6,81;7,81
77;6,83;6,75;6,67;6,6;6,52;6,45;6,38;6,32;6,6;6,86;7,86
76;6,88;6,8;6,72;6,65;6,57;6,5;6,43;6,37;6,65;6,91;7,91
75;6,93;6,85;6,77;6,7;6,62;6,55;6,48;6,42;6,7;6,96;7,96
74;6,98;6,9;6,82;6,75;6,67;6,6;6,53;6,47;6,75;7,01;8,01
73;7,03;6,95;6,87;6,8;6,72;6,65;6,58;6,52;6,8;7,06;8,06
72;7,08;7;6,92;6,85;6,77;6,7;6,63;6,57;6,85;7,11;8,11
71;7,13;7,05;6,97;6,9;6,82;6,75;6,68;6,62;6,9;7,16;8,16
70;7,18;7,1;7,02;6,95;6,87;6,8;6,73;6,67;6,95;7,21;8,21
69;7,23;7,15;7,07;7;6,92;6,85;6,78;6,72;7;7,26;8,26
68;7,28;7,2;7,12;7,05;6,97;6,9;6,83;6,77;7,05;7,31;8,31
67;7,33;7,25;7,17;7,1;7,02;6,95;6,88;6,82;7,1;7,36;8,36
66;7,38;7,3;7,22;7,15;7,07;7;6,93;6,87;7,15;7,41;8,41
65;7,43;7,35;7,27;7,2;7,12;7,05;6,98;6,92;7,2;7,46;8,46
