Punkte/Alter	6 - 7	8 - 9	10 - 11	12 - 13	14 - 15	16 - 17	18 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49
100	5.73	5.43	4.77	4.56	3.99	3.855	3.765	3.705	3.795	3.885	4.065	4.89	4.41
99	5.784	5.484	4.824	4.62	4.038	3.894	3.804	3.744	3.834	3.924	4.104	4.836	4.476
98	5.838	5.538	4.878	4.68	4.086	3.933	3.843	3.783	3.873	3.963	4.143	4.782	4.542
97	5.892	5.592	4.932	4.74	4.134	3.972	3.882	3.822	3.912	4.002	4.182	4.728	4.608
96	5.946	5.646	4.986	4.8	4.182	4.011	3.921	3.861	3.951	4.041	4.221	4.674	4.674
95	6	5.7	5.04	4.86	4.23	4.05	3.96	3.9	3.99	4.08	4.26	4.62	4.74
94	6.08	5.77	5.094	4.908	4.269	4.089	3.993	3.942	4.035	4.125	4.311	4.68	4.8
93	6.16	5.84	5.148	4.956	4.308	4.128	4.026	3.984	4.08	4.17	4.362	4.74	4.86
92	6.24	5.91	5.202	5.004	4.347	4.167	4.059	4.026	4.125	4.215	4.413	4.8	4.92
91	6.32	5.98	5.256	5.052	4.386	4.206	4.092	4.068	4.17	4.26	4.464	4.86	4.98
90	6.4	6.05	5.31	5.1	4.425	4.245	4.125	4.11	4.215	4.305	4.515	4.92	5.04
89	6.48	6.12	5.364	5.148	4.464	4.284	4.158	4.152	4.26	4.35	4.566	4.98	5.1
88	6.56	6.19	5.418	5.196	4.503	4.323	4.191	4.194	4.305	4.395	4.617	5.04	5.16
87	6.64	6.26	5.472	5.244	4.542	4.362	4.224	4.236	4.35	4.44	4.668	5.1	5.22
86	6.72	6.33	5.526	5.292	4.581	4.401	4.257	4.278	4.395	4.485	4.719	5.16	5.28
85	6.8	6.4	5.58	5.34	4.62	4.44	4.29	4.32	4.44	4.53	4.77	5.22	5.34
84	6.88	6.47	5.634	5.388	4.659	4.479	4.323	4.362	4.485	4.575	4.821	5.28	5.4
83	6.96	6.54	5.688	5.436	4.698	4.518	4.356	4.404	4.53	4.62	4.872	5.34	5.46
82	7.04	6.61	5.742	5.484	4.737	4.557	4.389	4.446	4.575	4.665	4.923	5.4	5.52
81	7.12	6.68	5.796	5.532	4.776	4.596	4.422	4.488	4.62	4.71	4.974	5.46	5.58
80	7.2	6.75	5.85	5.58	4.815	4.635	4.455	4.53	4.665	4.755	5.025	5.52	5.64
79	7.28	6.82	5.904	5.628	4.854	4.674	4.488	4.572	4.71	4.8	5.076	5.58	5.7
78	7.36	6.89	5.958	5.676	4.893	4.713	4.521	4.614	4.755	4.845	5.127	5.64	5.76
77	7.44	6.96	6.012	5.724	4.932	4.752	4.554	4.656	4.8	4.89	5.178	5.7	5.82
76	7.52	7.03	6.066	5.772	4.971	4.791	4.587	4.698	4.845	4.935	5.229	5.76	5.88
75	7.7	7.2	6.18	5.82	5.1	4.89	4.8	4.74	4.8	5.04	5.28	5.76	6
74	7.78	7.27	6.234	5.868	5.139	4.929	4.833	4.782	4.845	5.085	5.331	5.82	6.06
73	7.86	7.34	6.288	5.916	5.178	4.968	4.866	4.824	4.89	5.13	5.382	5.88	6.12
72	7.94	7.41	6.342	5.964	5.217	5.007	4.899	4.866	4.935	5.175	5.433	5.94	6.18
71	8.02	7.48	6.396	6.012	5.256	5.046	4.932	4.908	4.98	5.22	5.484	6	6.24
70	8.1	7.55	6.45	6.06	5.295	5.085	4.965	4.95	5.025	5.265	5.535	6.06	6.3
69	8.18	7.62	6.504	6.108	5.334	5.124	4.998	4.992	5.07	5.31	5.586	6.12	6.36
68	8.26	7.69	6.558	6.156	5.373	5.163	5.031	5.034	5.115	5.355	5.637	6.18	6.42
67	8.34	7.76	6.612	6.204	5.412	5.202	5.064	5.076	5.16	5.4	5.688	6.24	6.48
66	8.42	7.83	6.666	6.252	5.451	5.241	5.097	5.118	5.205	5.445	5.739	6.3	6.54
65	8.5	7.9	6.72	6.3	5.49	5.28	5.13	5.16	5.25	5.49	5.79	6.36	6.6
64	8.58	7.97	6.774	6.348	5.529	5.319	5.163	5.202	5.295	5.535	5.841	6.42	6.66
63	8.66	8.04	6.828	6.396	5.568	5.358	5.196	5.244	5.34	5.58	5.892	6.48	6.72
62	8.74	8.11	6.882	6.444	5.607	5.397	5.229	5.286	5.385	5.625	5.943	6.54	6.78
61	8.82	8.18	6.936	6.492	5.646	5.436	5.262	5.328	5.43	5.67	5.994	6.6	6.84
60	8.9	8.25	6.99	6.54	5.685	5.475	5.295	5.37	5.475	5.715	6.045	6.66	6.9
59	8.98	8.32	7.044	6.588	5.724	5.514	5.328	5.412	5.52	5.76	6.096	6.72	6.96
58	9.06	8.39	7.098	6.636	5.763	5.553	5.361	5.454	5.565	5.805	6.147	6.78	7.02
57	9.14	8.46	7.152	6.684	5.802	5.592	5.394	5.496	5.61	5.85	6.198	6.84	7.08
56	9.22	8.53	7.206	6.732	5.841	5.631	5.427	5.538	5.655	5.895	6.249	6.9	7.14
55	9.3	8.6	7.26	6.78	5.88	5.67	5.46	5.58	5.7	5.94	6.3	6.96	7.2
54	9.38	8.67	7.314	6.828	5.919	5.709	5.493	5.622	5.745	5.985	6.351	7.02	7.26
53	9.46	8.74	7.368	6.876	5.958	5.748	5.526	5.664	5.79	6.03	6.402	7.08	7.32
52	9.54	8.81	7.422	6.924	5.997	5.787	5.559	5.706	5.835	6.075	6.453	7.14	7.38
51	9.62	8.88	7.476	6.972	6.036	5.826	5.592	5.748	5.88	6.12	6.504	7.2	7.44
50	9.7	8.95	7.53	7.02	6.075	5.865	5.625	5.79	5.925	6.165	6.555	7.26	7.5
49	9.78	9.02	7.584	7.068	6.114	5.904	5.658	5.832	5.97	6.21	6.606	7.32	7.56
48	9.86	9.09	7.638	7.116	6.153	5.943	5.691	5.874	6.015	6.255	6.657	7.38	7.62
47	9.94	9.16	7.692	7.164	6.192	5.982	5.724	5.916	6.06	6.3	6.708	7.44	7.68
46	10.02	9.23	7.746	7.212	6.231	6.021	5.757	5.958	6.105	6.345	6.759	7.5	7.74
45	10.1	9.3	7.8	7.26	6.27	6.06	5.79	6	6.15	6.39	6.81	7.56	7.8
44	10.18	9.37	7.854	7.308	6.309	6.099	5.823	6.042	6.195	6.435	6.861	7.62	7.86
43	10.26	9.44	7.908	7.356	6.348	6.138	5.856	6.084	6.24	6.48	6.912	7.68	7.92
42	10.34	9.51	7.962	7.404	6.387	6.177	5.889	6.126	6.285	6.525	6.963	7.74	7.98
41	10.42	9.58	8.016	7.452	6.426	6.216	5.922	6.168	6.33	6.57	7.014	7.8	8.04
40	10.5	9.65	8.07	7.5	6.465	6.255	5.955	6.21	6.375	6.615	7.065	7.86	8.1
39	10.58	9.72	8.124	7.548	6.504	6.294	5.988	6.252	6.42	6.66	7.116	7.92	8.16
38	10.66	9.79	8.178	7.596	6.543	6.333	6.021	6.294	6.465	6.705	7.167	7.98	8.22
37	10.74	9.86	8.232	7.644	6.582	6.372	6.054	6.336	6.51	6.75	7.218	8.04	8.28
36	10.82	9.93	8.286	7.692	6.621	6.411	6.087	6.378	6.555	6.795	7.269	8.1	8.34
35	10.9	10	8.34	7.74	6.66	6.45	6.12	6.42	6.6	6.84	7.32	8.16	8.4
34	10.98	10.07	8.394	7.788	6.699	6.489	6.153	6.462	6.645	6.885	7.371	8.22	8.46
33	11.06	10.14	8.448	7.836	6.738	6.528	6.186	6.504	6.69	6.93	7.422	8.28	8.52
32	11.14	10.21	8.502	7.884	6.777	6.567	6.219	6.546	6.735	6.975	7.473	8.34	8.58
31	11.22	10.28	8.556	7.932	6.816	6.606	6.252	6.588	6.78	7.02	7.524	8.4	8.64
